,tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
116,Table 1,2011,1,30325,32575,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,4162.333333333333,145.40724219855315,WN,0.37938122313873096,126.53019983112863,WN,0.37938122313873096,126.53019983112863
117,Table 1,2011,1,30325,33044,"Denver, CO","Louisville, KY",1024,198.55555555555554,175.73503077783997,F9,0.51035254616676,155.5654605263158,F9,0.51035254616676,155.5654605263158
118,Table 1,2011,1,30325,33192,"Denver, CO","Sacramento, CA",909,672.1111111111111,150.13651843279882,WN,0.4690031410150438,140.0592527317589,WN,0.4690031410150438,140.0592527317589
119,Table 1,2011,1,30325,33195,"Denver, CO","Tampa, FL (Metropolitan Area)",1506,764.6666666666666,197.70135135135135,WN,0.38419064225515837,189.5875189107413,F9,0.26503923278116825,172.9753289473684
120,Table 1,2011,1,30325,33198,"Denver, CO","Kansas City, MO",533,1004.2222222222222,131.70198052666518,WN,0.4975658331489268,125.16161885701578,F9,0.2716308917902191,122.47983706720977
121,Table 1,2011,1,30325,33214,"Denver, CO","San Antonio, TX",794,595.4444444444445,154.20858369098713,WN,0.4633327113267401,142.82581554571084,F9,0.19817130061578653,138.0578154425612
122,Table 1,2011,1,30325,33316,"Denver, CO","Omaha, NE",472,613.5555555555555,120.62962694675842,WN,0.40021731256791016,111.93285067873303,F9,0.2855849329952916,108.41807228915663
123,Table 1,2011,1,30325,33342,"Denver, CO","Milwaukee, WI",896,537.2222222222222,149.96159255429163,F9,0.6790072388831437,145.59369479134938,FL,0.1751809720785936,143.13931523022433
124,Table 1,2011,1,30325,33495,"Denver, CO","New Orleans, LA",1062,634.6666666666666,156.99136904761906,WN,0.4170168067226891,139.36637279596977,WN,0.4170168067226891,139.36637279596977
125,Table 1,2011,1,30325,33570,"Denver, CO","San Diego, CA",853,1551.4444444444443,132.5812790947504,WN,0.47726133352431427,121.71287515006003,WN,0.47726133352431427,121.71287515006003
126,Table 1,2011,1,30325,33667,"Denver, CO","Norfolk, VA (Metropolitan Area)",1553,158.0,206.1103375527426,F9,0.2876230661040788,170.65476772616137,F9,0.2876230661040788,170.65476772616137
127,Table 1,2011,1,30325,33851,"Denver, CO","Oklahoma City, OK",495,441.8888888888889,136.49547397535832,WN,0.4463163188332914,131.52140845070423,F9,0.2144832788534071,123.85932004689332
128,Table 1,2011,1,30325,34057,"Denver, CO","Portland, OR",991,871.1111111111111,149.53433673469388,F9,0.38418367346938775,132.30033200531207,F9,0.38418367346938775,132.30033200531207
129,Table 1,2011,1,30325,34100,"Denver, CO","Philadelphia, PA",1557,849.7777777777778,228.99517520920503,WN,0.3578713389121339,198.89028132992328,WN,0.3578713389121339,198.89028132992328
130,Table 1,2011,1,30325,34492,"Denver, CO","Raleigh/Durham, NC",1437,388.44444444444446,194.83340961098398,WN,0.5120137299771167,181.3185474860335,DL,0.19193363844393593,176.48152011922502
131,Table 1,2011,1,30325,34570,"Denver, CO","Reno, NV",804,281.8888888888889,172.3506109578242,WN,0.5467087110760741,159.91896178803174,WN,0.5467087110760741,159.91896178803174
132,Table 1,2011,1,30325,34614,"Denver, CO","Salt Lake City, UT",390,1306.6666666666667,123.4856037414966,WN,0.36547619047619045,116.37503489995346,F9,0.2056972789115646,113.3657709797437
133,Table 1,2011,1,30325,34653,"Denver, CO","Tulsa, OK",541,373.6666666666667,145.1609872137972,WN,0.5786500148676776,136.53150051387462,WN,0.5786500148676776,136.53150051387462
